time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
14.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
14.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
15;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
15.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
15.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
15.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
15.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
16;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
16.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
16.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
16.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
16.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
17;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
17.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
17.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
17.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
17.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
18;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
18.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
18.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
18.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
18.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
19;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
19.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
19.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
19.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
19.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
20;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
20.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
20.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
20.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
20.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
21;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
21.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
21.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
21.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
21.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
22;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
22.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
22.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
22.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
22.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
23;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
23.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
23.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
23.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
